COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],RfD Information Source,Oral CSF [mg/kg/day]-1,CSF Information Source,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Acrylonitrile                                          ,107-13-1   ,53.1,190,0.143,74000,0.000103,0.122,1.34E-05,1.78,1.76,0.02,0.13,0.07,11,1,6.67,379,8.38,8.38,0.001,0.001,2.01E-05,9.55E-05,0.000116,1.41E-05,           ,3.16,                  ,         ,4.00E-02,ATSDR Final,0.54,IRIS,0.002,6.80E-05,                               ,O            ,                ,8.38,4.02E-05,7.04E-05,              ,   ,T      
"Aldehydes, Unspeciated",E761379    ,30,181,6.89,550000,0.000000336,0.178,0.0000198,2.24,2.21,0.02,0.17,0.09,36.1,1,6.74,305,8.38,8.38,0.392,0.392,0.0000254,0.000121,0.000146,0.0000175,           ,3.16,                  ,         ,0.2,IRIS (formaldehyde),                    ,,0.009,0.000005,                               ,O            ,                ,8.38,0.0000508,0.0000888,              ,   ,T      
Allyl Chloride,107-05-1   ,76.53,139,0.482,2968,1.10E-02,9.36E-02,1.08E-05,85.11,39.6,            ,2.97,1.584,18,1,1.2,5.6,5.6,5.6,1.80E-02,1.80E-02,6.72E-07,2.13E-06,                   ,           ,           ,3.66,                  ,         ,,"Pennsylvania Remediation, recommend removal.",0.021,Cal EPA,0.001,6.00E-06,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Aminobiphenyl 4-,92-67-1,169.23,327,1.24E-06,223.9,1.46E-07,6.21E-02,7.26E-06,724,3.06E+02,,22.935,12.232,,1,,,,,0.845,0.845,5.72E-06,1.81E-05,,,,35.8,,,,,21,Cal EPA,,6.00E-03,,O            ,,,,,,,
Ammonia   ,7664-41-7  ,17,196,8.5,480000,0.000301,0.287,3.33E-05,1.7,1.69,0.0169,0.126,0.0674,253,1,0.35,20.7,28.5,28.5,0.000327,0.000327,1.92E-05,9.12E-05,0.00011,           ,           ,0.3,                  ,         ,               ,,                    ,,0.08,                           ,                               ,O            ,                ,28.5,3.84E-05,6.72E-05,              ,   ,T      
Aniline                                                ,62-53-3    ,93.6,267,0.000645,36000,1.90E-06,0.07,8.30E-06,7.94,7.67,1.2,0.58,0.31,            ,1,7.45,6.21,8.38,8.38,0.267,0.267,8.41E-05,0.0004,0.000484,7.59E-05,           ,3.16,                  ,         ,0.007,PPRTV,0.0057,IRIS,0.001,1.60E-06,                               ,O            ,                ,8.38,0.000168,0.000294,              ,   ,T      
"Anisidine,O-",90-04-0,123.16,280,0.00022,9598,9.26E-07,6.52E-02,8.91E-06,14,4.59E+01,,3.444,1.8368,,1,,,,,7.96,7.96,1.27E-07,3.78E-07,,,,2.79,,,,,0.14,Cal EPA,,,,,,,,,,,
Anthracene                                             ,120-12-7   ,178,493,3.55E-09,0.043,6.50E-05,0.001,1.00E-05,31600,23500,4500,1760,940,0.55,0.998,678,0.151,0.0971,0.0971,53.3,53.3,0.00712,0.0338,0.0409,0.235,           ,582,1030,         ,0.3,IRIS,                    ,,            ,7.20E-04,                               ,O            ,PAH             ,0.0971,0.0142,0.0249,              ,   ,T      
Antimony                                               ,7440-36-0  ,125,903,0,23000,0.025,0.0772,9.57E-06,5.37,           ,45,45,45,            ,0,            ,0.03,0.0319,0.2,            ,            ,0.0001,0.001,                   ,           ,           ,40,                  ,         ,0.0004,IRIS,                    ,,0.0002,                           ,                               ,I            ,Metal           ,0.03,           ,           ,              ,   ,T      
Arsenic                                                ,7440-38-2  ,78,1090,0,34700,0.77,0.0772,9.57E-06,4.79,           ,29,29,29,            ,0,            ,0.008,0.00633,0.036,            ,            ,6.00E-05,0.002,                   ,           ,           ,114,                  ,         ,3.00E-04,IRIS,1.5,IRIS,1.50E-05,0.0043,                               ,I            ,Metal           ,0.004,           ,           ,              ,   ,T      
Barium,7440-39-3,137.33,984,2.50E-40,5.47E+04,2.45E-02,,,1.7,13.2,41,,,,1,,,,,0.15,0.15,3.50E-04,1.50E-04,,,,0.9608,0.9608,,2.00E-01,IRIS,,,,,,I            ,Metal           ,,,,,,
Benzene                                                ,71-43-2    ,78.1,279,0.125,1800,0.0056,0.088,1.02E-05,126,61.7,0.12,4.63,2.47,15.8,1,9.62,80.1,2.37,2.37,0.00172,0.00172,0.000712,0.00338,0.00409,0.00109,           ,8.26,                  ,         ,0.004,IRIS,0.055,IRIS,0.03,7.80E-06,                               ,O            ,                ,2.37,0.00142,0.00249,              ,   ,T      
Benzidine,92-87-5,184.24,394,7.86E-06,3765,5.78E-11,3.51E-02,7.48E-06,22,1.19E+03,,89.25,47.6,,1,,,,,6.43,6.43,1.73E-07,5.47E-07,,,,3.56,,,3.00E-03,IRIS,2.30E+02,IRIS,,,,,,,,,,,
Benzo(a)Anthracene                                     ,56-55-3    ,228,357,1.45E-10,0.0094,3.40E-06,0.051,9.00E-06,501000,358000,60000,26900,14300,0.37,0.483,5690,0.0948,0.0197,0.0197,19300,19300,0.00841,0.0399,0.0483,3.79,           ,4890,49900,         ,               ,,0.34,MDH,            ,3.60E-04,                               ,O            ,PAH             ,0.0197,0.0168,0.0294,              ,   ,T      
Benzo(a)Fluoranthene,203-33-8,252,441,1.06E-10,0.002,8.10E-07,0.0228,5.49E-06,1.29E+06,6.00E+05,8360,62700,33400,0.415,0.9412,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,,0.28,MDH,            ,5.40E-04,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(a)Pyrene                                         ,50-32-8    ,252,453,7.24E-12,0.0016,1.10E-06,0.043,9.00E-06,1000000,969000,160000,72700,38800,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,961.6,1165,         ,               ,,1.7,MDH,            ,1.80E-03,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Benzo[c]Phenanthrene,195-19-7,228,409,2.00E-12,0.02635,5.00E-06,,,3.30E+05,1.80E+05,8360,62700,33400,0.415,0.608,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,1364,1993,,,,,,,,,,,,,,,,
Benzo(b)Fluoranthene                                   ,205-99-2   ,252,441,6.58E-10,0.0015,0.000111,0.001,1.00E-05,1330000,1050000,10500,78600,41900,0.41,0.966,12100,1.15,0.0112,0.0112,1680,1680,0.00762,0.0362,0.0438,12.7,           ,10400,206000,         ,               ,,1.4,MDH,            ,1.40E-03,                               ,O            ,PAH             ,0.0112,0.0152,0.0267,              ,   ,T      
Benzo(E)Pyrene                                        ,192-97-2   ,252,451,2.54E-11,0.00564,8.10E-07,0.043,9.00E-06,2.80E+06,5.99E+05,160000,44925,23960,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,8320,133000,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
"Benzo(G,H,I)Fluoranthene",203-12-3   ,226.28,427,1.85E-11,5.81E-03,8.15E-07,2.43E-02,7.78E-06,1.28E+06,7.96E+05,10500,5.97E+04,3.18E+04,0.12,3.76E-01,12100,1.15,0.0112,0.0112,1.06E+05,1.06E+05,8.94E-03,3.44E-02,0.0438,12.7,           ,7.46E+03,177000,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
"Benzo(G,H,I)Perylene",191-24-2   ,276.33,551,1.31E-13,2.60E-04,2.66E-07,4.48E-02,5.23E-06,4.27E+06,1.95E+06,160000,146250,78000,0.48,0.294,9680,0.0605,0.0132,0.0132,5.50E-03,5.50E-03,3.37E-02,1.01E-01,0.0455,10.7,           ,1.10E+04,133000,         ,               ,,0.015,MDH,            ,1.60E-05,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Benzo(B+K)Fluoranthene,E17133943 ,252,441,1.06E-10,0.00433,6.18E-06,0.0228,5.49E-06,1590000,836000,8360,62700,33400,0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,,0.28,MDH,            ,5.40E-04,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(J)Fluoranthene,205-82-3   ,252.32,443,3.43E-11,0.01081,8.00E-07,4.76E-02,5.56E-06,1.29E+06,5.99E+05,190000,44925,23960,0.12,0.478,12100,1.15,0.0112,0.0112,1.10E-02,1.10E-02,1.02E-02,3.22E-02,0.0438,12.7,           ,4.99E+03,177000,         ,               ,,0.5,MDH,            ,5.40E-04,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(k)Fluoranthene                                   ,207-08-9   ,252,493,2.63E-12,0.0008,8.30E-07,0.001,1.00E-05,1260000,992000,190000,74400,39700,0.12,0.273,11600,0.0609,0.0115,0.0115,211000,211000,0.00768,0.0365,0.0442,12.6,           ,9930,177000,         ,               ,,0.051,MDH,            ,5.40E-05,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
"Benzofluoranthenes, Unspeciated",56832-73-6 ,252,441,1.06E-10,0.00433,6.18E-06,0.0228,5.49E-06,1590000,836000,8360,62700,33400,0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,,0.28,MDH,            ,5.40E-04,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzyl chloride                                        ,100-44-7   ,127,234,0.00172,525,0.000415,0.075,7.80E-06,200,182,1.82,13.7,7.3,20.9,1,13.7,7.51,1.81,1.81,0.0379,0.0379,0.000954,0.00453,0.00548,1.83E-05,           ,11.8,                  ,         ,0.002,PPRTV,0.17,IRIS,0.001,4.90E-05,                               ,O            ,                ,1.81,0.00191,0.00334,              ,   ,T      
Beryllium                                              ,7440-41-7  ,9.01,1570,0,149000,0.015,0.0772,9.57E-06,0.269,           ,790,790,790,            ,0,            ,0.0015,0.00258,0.01,            ,            ,9.00E-07,0.001,                   ,           ,           ,62,                  ,         ,0.002,IRIS,,"HEAST, eliminate",2.00E-05,0.0024,                               ,I            ,Metal           ,0.0015,           ,           ,              ,   ,T      
Biphenyl,92-52-4    ,154,342,1.18E-05,6.94,0.000262,0.0661,7.65E-06,9550,8180,81.8,613,327,36.1,1,270,3.3,0.194,0.194,3.69,3.69,0.0054,0.0257,0.0311,           ,           ,232,                  ,         ,0.5,IRIS,8.00E-03,IRIS,            ,                           ,                               ,O            ,                ,0.194,0.0108,0.0189,              ,   ,T      
Bis(2-chlorethyl)ether                                 ,111-44-4   ,143.013,226.35,0.00204,17200,1.80E-05,0.0413,9.49E-06,19.498446,75.9,0.76,5.69,3.04,1.41,1,8.6,11.3,6.96,6.96,0.0734,0.0734,0.000180973,0.000859622,0.001040595,0.000158866,           ,1.96,                  ,         ,               ,,1.1,IRIS,            ,0.00033,                               ,O            ,                ,6.96,0.000361946,0.000633406,              ,   ,T      
Bromoform (Tribromomethane)                            ,75-25-2    ,253,281,0.00725,3100,6.5,0.0149,1.03E-05,234,126,1.26,9.45,5.04,1.41,1,15.5,12.3,1.65,1.65,2.87E-06,2.87E-06,0.00105,0.005,0.00605,0.00178,           ,13.3,                  ,         ,0.02,IRIS,0.00793,IRIS,            ,1.10E-06,                               ,O            ,                ,1.65,0.0021,0.00368,              ,   ,T      
"Butadiene 1,3-             ",106-99-0   ,54.1,164,2.78,735,0.204,0.133,1.54E-05,97.7,45.1,0.451,3.38,1.8,8.43,1,14.2,31.5,2.74,2.74,3.60E-05,3.60E-05,0.000602,0.00286,0.00346,           ,           ,6.8,                  ,         ,               ,,3.4,Cal EPA,0.002,5.88E-05,                               ,O            ,                ,2.74,0.0012,0.00211,              ,   ,T      
Butyl Carbitol Acetate                            ,124-17-4   ,204.27,298,4.65E-05,2343,9.90E-08,           ,           ,20,12.27,            ,0.92025,0.4908,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,2,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Butyl Cellosolve,111-76-2,118.18,196,1.05E-03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butylbenzylphthalate                                   ,85-68-7    ,312,238,1.09E-08,2.7,1.30E-06,0.001,1.00E-05,79400,13700,8700,1030,548,36.1,0.948,1380,0.158,0.057,0.057,7110,7110,0.00809,0.0384,0.0465,0.206,           ,1180,3290,         ,0.2,IRIS,0.0019,PPRTV,            ,                           ,                               ,O            ,PH              ,0.057,0.0162,0.0283,              ,   ,T      
Cadmium                                                ,7440-43-9  ,112.4,593.15,5.45E-12,123000,0.031,0.0772,9.57E-06,0.851138038,           ,75,75,75,2.53E-06,0.009,            ,0.064,0.125,0.364,            ,            ,6.50E-06,0.00012,0.000191489,0.0025,           ,907,                  ,         ,0.001,IRIS,                    ,,2.00E-05,0.0018,                               ,I            ,Metal           ,0.062,0.0025,0.10625,              ,   ,T      
Carbitol Acetate                                   ,112-15-2   ,176.21,275.9,0.000186,3.09E+04,               ,5.70E-02,7.98E-06,2.089,4.54,            ,0.3405,0.1816,            ,1,            ,            ,               ,               ,17.5,17.5,3.07E-08,9.73E-08,                   ,           ,           ,3.16,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Disulfide                                       ,75-15-0    ,76.1,153,0.474,1200,0.03,0.104,1.00E-05,158,66.2,0.091,4.96,2.65,            ,1,11.5,126,2.07,2.07,0.00041,0.00041,0.000826,0.00392,0.00475,0.000794,           ,9.86,                  ,         ,0.1,IRIS,                    ,,0.7,                           ,                               ,O            ,                ,2.07,0.00165,0.00289,              ,   ,T      
Carbon Monoxide                                 ,630-08-0   ,28.01,134,11.43,4.97E+04,5.63E-04,1.73E-01,1.79E-05,2.5,2.22,            ,0.1665,0.0888,            ,1,            ,            ,               ,               ,22.6,22.6,1.98E-08,6.28E-08,                   ,           ,           ,3.16,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Monoxide_2013_point                   ,630-08-0-2013,28.01,134,11.43,4.97E+04,5.63E-04,1.73E-01,1.79E-05,2.5,2.22,            ,0.1665,0.0888,            ,1,            ,            ,               ,               ,22.6,22.6,1.98E-08,6.28E-08,                   ,           ,           ,3.16,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Tetrachloride                                   ,56-23-5    ,154,250,0.158,790,0.03,0.078,8.80E-06,631,152,0.35,11.4,6.08,0.7,1,33.3,95.1,0.932,0.932,0.00179,0.00179,0.00183,0.00868,0.0105,0.00414,           ,28.6,                  ,         ,0.004,IRIS,0.07,IRIS,0.1,6.00E-06,                               ,O            ,                ,0.932,0.00366,0.0064,              ,   ,T      
Carbonyl Sulfide                                   ,463-58-1   ,60.07,171.29,10.79,1.00E+06,4.92E-02,           ,           ,0.0468,0.9123,            ,0.0684225,0.036492,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Catechol,120-80-9   ,110,378,3.95E-05,461000,9.43E-09,0.0827,9.58E-06,7.59,7.33,0.0733,0.55,0.293,36.1,1,7.41,101,12,12,51.3,51.3,8.07E-05,0.000383,0.000464,           ,           ,3.16,                  ,         ,               ,,,"cannot find this value, eliminate",            ,                           ,                               ,O            ,                ,12,0.000161,0.000283,              ,   ,T      
Cellosolve,110-80-5   ,90.1,203,0.00699,1000000,6.30E-07,0.0945,1.09E-05,0.479,0.485,0.00485,0.0364,0.0194,8.43,1,6.44,1330,59.3,59.3,0.0405,0.0405,4.89E-06,2.32E-05,2.81E-05,           ,           ,3.16,                  ,         ,9.00E-02,PPRTV,                    ,,0.2,                           ,                               ,O            ,                ,59.3,9.78E-06,1.71E-05,              ,   ,T      
Chlorine                                               ,7782-50-5  ,70.9,172,7.7,6300,0.0117,0.001,1.00E-05,7.08,13.22,            ,0.9915,0.5288,            ,1,7.36,            ,8.38,8.38,            ,            ,7.59E-05,0.00036,0.000436,           ,           ,3.16,                  ,         ,0.1,IRIS,                    ,,0.0002,                           ,                               ,I            ,                ,8.38,0.000152,0.000266,              ,   ,T      
Chloroacetophenone 2-,532-27-4   ,155,330,7.11E-06,1640,6.70E-07,0.066,7.64E-06,85.1,79,0.79,5.92,3.16,3.37,1,13.4,17,2.97,2.97,9.48,9.48,0.000548,0.0026,0.00315,           ,           ,6.11,                  ,         ,               ,,                    ,,3.00E-05,                           ,                               ,O            ,                ,2.97,0.0011,0.00192,              ,   ,T      
Chlorobenzene                                          ,108-90-7   ,113,228,0.0158,470,0.0037,0.073,8.70E-06,631,224,0.44,16.8,8.96,1.69,1,33.3,75.6,0.932,0.932,0.0145,0.0145,0.00183,0.00868,0.0105,0.00489,           ,28.6,                  ,         ,0.02,IRIS,                    ,,1,                           ,                               ,O            ,                ,0.932,0.00366,0.0064,              ,   ,T      
Chloroethane                                           ,75-00-3    ,64.5,133,1.32,5700,0.0088,0.271,1.15E-05,25.1,15.4,0.032,1.15,0.62,9.03,1,9.09,284,6.01,6.01,0.000197,0.000197,0.000222,0.00105,0.00128,0.01,           ,2.39,                  ,         ,               ,,                    ,,10,                           ,                               ,O            ,                ,6.01,0.000444,0.000776,              ,   ,T      
Chloroform (Trichloromethane)                          ,67-66-3    ,119,209,0.263,7900,0.0037,0.104,1.00E-05,100,52.5,0.08,3.94,2.1,1.41,1,8.05,101,2.7,2.7,0.00204,0.00204,0.000611,0.0029,0.00351,0.000707,           ,6.92,                  ,         ,0.01,IRIS,0.032,Cal EPA,0.3,2.30E-05,                               ,O            ,                ,2.7,0.00122,0.00214,              ,   ,T      
"Chloronaphthalene,2-                                   ",91-58-7    ,163,333,1.05E-05,11.7,0.000314,0.001,1.00E-05,2400,2100,21,158,84.1,5.27,1,93,4.42,0.431,0.431,0.708,0.708,0.00337,0.016,0.0194,0.0933,           ,79.9,69.3,         ,0.08,IRIS,                    ,,            ,                           ,                               ,O            ,PAH             ,0.431,0.00674,0.0118,              ,   ,T      
Chloroprene,126-99-8   ,88.5,143,0.284,875,0.0288,0.0956,1.11E-05,339,121,1.21,9.06,4.83,8.43,1,20.6,17.1,1.34,1.34,0.000962,0.000962,0.0013,0.0062,0.0075,           ,           ,17.7,                  ,         ,,"HEAST, eliminate",                    ,,0.02,0.0003,                               ,O            ,                ,1.34,0.00261,0.00457,              ,   ,T      
Chromium (III)                                         ,16065-83-1 ,52,2170,0,         ,0,0.136,1.58E-05,0,           ,19,19,19,2.53E-06,0,            ,0.0045,0.00488,0.0075,            ,            ,0.0015,0.0055,                   ,           ,           ,3,                  ,         ,1.5,IRIS,                    ,,            ,                           ,                               ,I            ,Metal           ,0.0075,           ,           ,              ,   ,T      
"Chromium, Hexavalent                                   ",18540-29-9 ,52,2170,0,         ,0,0.136,0,1,           ,19,19,19,2.53E-06,0,            ,0.0045,0.00488,0.0075,            ,            ,0.0015,0.0055,                   ,           ,           ,3.16,                  ,         ,0.003,IRIS,0.5,NJEPA,8.00E-06,0.012,                               ,I            ,Metal           ,0.0045,           ,           ,              ,   ,T      
Chrysene                                               ,218-01-9   ,228,533,8.16E-12,0.0063,9.50E-05,0.001,1.00E-05,501000,401000,60000,30100,16000,0.25,0.744,5690,0.0948,0.0197,0.0197,692,692,0.00841,0.0399,0.0483,4.36,           ,4890,49900,         ,               ,,0.17,MDH,            ,1.80E-04,                               ,O            ,PAH             ,0.0197,0.0168,0.0294,              ,   ,T      
Methylchrysenes,41637-90-5,242.32,422.4,7.14E-10,0.0133,5.53E-06,0.0489,5.66E-06,1.17E+06,2.90E+05,9270,69500,37100,2.11,0.848,11000,1.18,0.012,0.012,125000,125000,0.00775,0.0368,0.0446,4.36,,764.6,1002,,,,1.7,MDH,,1.80E-03,                               ,O            ,PAH             ,0.012,0.0155,0.0271,              ,   ,T      
Cobalt,7440-48-4  ,58.9,1770,5.50E-12,87500,0,0.126,0,1.7,13.2,            ,0.99,0.528,2.53E-06,0,            ,0.007,               ,0.02,2.00E-02,2.00E-02,                   ,2.00E-02,                   ,           ,           ,9.81E-01,9.81E-01,         ,0.0003,PPRTV,                    ,,6.00E-06,0.009,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Copper,7440-50-8  ,64,1370,0,10000,0,0.119,0,0.269,13.2,            ,0.99,0.528,2.53E-06,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,,"HEAST, eliminate",                    ,,            ,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Cresol Mixed Isomers                               ,1319-77-3  ,109,294,0.000224,9070,2.69E-06,0.0832,9.63E-06,89.1,82.6,0.826,6.2,3.31,8.43,1,13.7,16.6,2.89,2.89,2.48,2.48,0.000565,0.00268,0.00325,           ,           ,6.33,                  ,         ,,"HEAST, eliminate",                    ,,0.6,                           ,                               ,O            ,                ,2.89,0.00113,0.00198,              ,   ,T      
Cumene (Isopropylbenzene)                              ,98-82-8    ,120,177,0.00592,61,1.2,0.065,7.10E-06,5010,1020,600,76.5,40.8,31.6,1,164,0.273,0.281,0.281,0.000406,0.000406,0.00442,0.021,0.0254,0.0326,           ,141,                  ,         ,0.1,IRIS,                    ,,0.4,                           ,                               ,O            ,                ,0.281,0.00885,0.0155,              ,   ,T      
Cyanide,57-12-5    ,26.02,       ,0.408,95400,0.024,0.001,1.00E-05,0.204173794,0.34,9.9,0.03,0.014,            ,1,6.39,0.646,8.38,8.38,4.29E-07,4.29E-07,1.91E-06,9.07E-06,1.10E-05,           ,           ,3.16,                  ,         ,0.0006,IRIS,                    ,,0.003,                           ,                               ,O            ,                ,8.38,3.82E-06,6.68E-06,              ,   ,T      
Cyclohexane,110-82-7,84.16,191.28,0.123,43.02,2.55E-01,8.00E-02,9.11E-06,1513.6,1.46E+02,,10.935,5.832,,1,,,,,3.89E-01,3.89E-01,2.18E-05,6.89E-05,,,,0.83,,,,,,,,,,,,,,,,,
